source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ruwe,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,has_xp_sampled,has_mcmc_msc,teff_gspphot,ag_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2927164115110292480,100.5244308590387,0.01462612,-20.703288693866135,0.02172747,1.6727083982280542,0.028288482,10.155774,2.2634620371083174,0.01614205,-9.900327816734496,0.023885814,0.09699482,0.984274,2.7804308,4532.7383,15.436185,10.649818,509.75595,16.001781,9.437544,1083.0012,14.724175,1.277606,,false,true,4680.463,0.1195,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9247157723631774
2927073061800505600,100.58619167210726,0.72925144,-21.04372806566604,1.1288967,1.6354471857547086,1.3837985,2.7716665,0.34020497676571326,0.775831,2.7507082397478575,1.1399221,0.368371,1.0063746,0.6373762,138.41245,20.823439,5.6280527,6.176023,21.485874,6.048022,14.945962,19.857552,1.6283226,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9248659551453975
2926203206368010624,102.44698908620427,0.14788707,-21.028695859720685,0.22527418,1.5756556457842015,0.29660326,1.891996,-0.4942404364997181,0.16400027,-1.8263009704908386,0.2534851,0.0054827966,0.9929907,0.68745685,455.0817,19.44903,3.0958695,15.955221,21.104328,4.1001315,98.356346,18.233894,2.8704338,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9262269492257423
2926812576328406528,101.65697784331797,0.19613765,-21.636543787540493,0.29348388,1.6148350661886473,0.39039603,4.39028,-4.246910910144263,0.22857249,-1.1127907525944871,0.33442825,0.04438876,1.0670168,0.52360845,400.87442,19.88233,3.8664205,11.396632,21.228329,4.8881083,55.27675,18.668688,2.559641,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9277068697079499
2926173622633258880,102.36068099022535,0.24153368,-21.202430923120332,0.34831703,1.6337016931424995,0.48993665,16.17727,-13.148372332325561,0.26255536,9.424669161987815,0.41634783,0.27049133,1.0775781,0.53767955,361.04175,19.967165,3.0824473,15.279383,21.156038,5.2174735,43.216923,18.86511,2.290928,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9278089497615016
2927061070251978112,100.69357521020497,0.038530976,-21.243717505789466,0.055462997,1.648814585323568,0.07516442,2.2282085,0.6146116953149915,0.043288074,-2.141766936590834,0.06268447,0.105430864,1.0749927,1.4239712,1582.3015,17.305391,6.1722665,99.10094,18.372236,5.8803387,414.62134,16.28026,2.0919762,,false,true,3919.4875,0.572,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9278747391280586
2927061340834070400,100.67689043203487,0.14290221,-21.220546605479736,0.20057872,1.527657100664898,0.2589791,3.710357,-3.6021008587342234,0.15255657,-0.8897289099795979,0.21896853,0.051570427,1.0178428,0.63684905,470.8147,19.495152,3.346762,14.691386,21.109324,4.559388,81.54954,18.322075,2.7872486,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9280769628517925
2926855427216582272,100.90407878352563,0.25166288,-21.45331077166734,0.36018515,1.6246328220411272,0.5151322,8.658392,2.841974507709981,0.27657408,-8.178687431468775,0.39921,0.12709439,1.0752662,0.57838386,288.21283,20.132544,4.945223,6.801709,21.521532,5.428527,36.54267,19.00419,2.5173416,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9286850428837798
2926164414221709056,102.1894451951384,0.23424314,-21.4005634308292,0.33203506,1.554560512014548,0.48399985,1.6744626,-1.6733942112854272,0.25087273,-0.059806621806906796,0.38076738,0.23700666,1.0342965,0.47633928,336.6786,20.174538,3.4301953,16.055527,20.986183,4.566454,35.22694,19.23176,1.7544231,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.929331434257104
2933257780351205632,101.95487643471124,0.05141523,-19.886158387214582,0.061703496,1.609624262776587,0.08349992,5.678957,-4.151561914253057,0.06718504,-3.8749305415633906,0.07532956,-0.15076202,1.055022,1.5324489,1219.7892,17.50819,9.45862,57.42343,18.50125,7.4254317,263.67105,16.518435,1.9828148,,false,true,3694.713,0.2813,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9299502887221328
